analysis_era,component,stream,component_trigger,category_path,component_lumisections,category_active_lumisections,baseline_active_lumisections,unsupported_lumisections,status
2022,MuonEG_Run2022B-ReReco-v1,MuonEG,Trigger_ElMu,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL,4633,3378,3378,0,component_baseline_covers_category_exposure
2022,MuonEG_Run2022B-ReReco-v1,MuonEG,Trigger_ElMu,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,4633,3378,3378,0,component_baseline_covers_category_exposure
2022,MuonEG_Run2022B-ReReco-v1,MuonEG,Trigger_ElMu,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,4633,3378,3378,0,component_baseline_covers_category_exposure
2022,MuonEG_Run2022C-ReReco-v1,MuonEG,Trigger_ElMu,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL,25824,25824,25824,0,component_baseline_covers_category_exposure
2022,MuonEG_Run2022C-ReReco-v1,MuonEG,Trigger_ElMu,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,25824,25824,25824,0,component_baseline_covers_category_exposure
2022,MuonEG_Run2022C-ReReco-v1,MuonEG,Trigger_ElMu,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,25824,25824,25824,0,component_baseline_covers_category_exposure
2022,MuonEG_Run2022D-ReReco-v1,MuonEG,Trigger_ElMu,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL,10873,10873,10873,0,component_baseline_covers_category_exposure
2022,MuonEG_Run2022D-ReReco-v1,MuonEG,Trigger_ElMu,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,10873,10873,10873,0,component_baseline_covers_category_exposure
2022,MuonEG_Run2022D-ReReco-v1,MuonEG,Trigger_ElMu,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,10873,10873,10873,0,component_baseline_covers_category_exposure
2022,SingleMuon_Run2022B-ReReco-v1,Muon,!Trigger_ElMu && Trigger_sngMu,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8,4633,3378,3378,0,component_baseline_covers_category_exposure
2022,SingleMuon_Run2022B-ReReco-v1,Muon,!Trigger_ElMu && Trigger_sngMu,HLT_IsoMu24,4633,3378,3378,0,component_baseline_covers_category_exposure
2022,SingleMuon_Run2022C-ReReco-v1,Muon,!Trigger_ElMu && Trigger_sngMu,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8,6701,6701,6701,0,component_baseline_covers_category_exposure
2022,SingleMuon_Run2022C-ReReco-v1,Muon,!Trigger_ElMu && Trigger_sngMu,HLT_IsoMu24,6701,6701,6701,0,component_baseline_covers_category_exposure
2022,Muon_Run2022C-ReReco-v1,Muon,!Trigger_ElMu && (Trigger_sngMu || Trigger_dblMu),HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8,19088,19088,19088,0,component_baseline_covers_category_exposure
2022,Muon_Run2022C-ReReco-v1,Muon,!Trigger_ElMu && (Trigger_sngMu || Trigger_dblMu),HLT_IsoMu24,19088,19088,19088,0,component_baseline_covers_category_exposure
2022,Muon_Run2022D-ReReco-v1,Muon,!Trigger_ElMu && (Trigger_sngMu || Trigger_dblMu),HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8,10867,10867,10867,0,component_baseline_covers_category_exposure
2022,Muon_Run2022D-ReReco-v1,Muon,!Trigger_ElMu && (Trigger_sngMu || Trigger_dblMu),HLT_IsoMu24,10867,10867,10867,0,component_baseline_covers_category_exposure
2022,EGamma_Run2022B-ReReco-v1,EGamma,!Trigger_ElMu && !Trigger_sngMu && !Trigger_dblMu && (Trigger_sngEl || Trigger_dblEl),HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,4613,3361,3361,0,component_baseline_covers_category_exposure
2022,EGamma_Run2022B-ReReco-v1,EGamma,!Trigger_ElMu && !Trigger_sngMu && !Trigger_dblMu && (Trigger_sngEl || Trigger_dblEl),HLT_Ele30_WPTight_Gsf,4613,3361,3361,0,component_baseline_covers_category_exposure
2022,EGamma_Run2022C-ReReco-v1,EGamma,!Trigger_ElMu && !Trigger_sngMu && !Trigger_dblMu && (Trigger_sngEl || Trigger_dblEl),HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,25812,25812,25812,0,component_baseline_covers_category_exposure
2022,EGamma_Run2022C-ReReco-v1,EGamma,!Trigger_ElMu && !Trigger_sngMu && !Trigger_dblMu && (Trigger_sngEl || Trigger_dblEl),HLT_Ele30_WPTight_Gsf,25812,25812,25812,0,component_baseline_covers_category_exposure
2022,EGamma_Run2022D-ReReco-v1,EGamma,!Trigger_ElMu && !Trigger_sngMu && !Trigger_dblMu && (Trigger_sngEl || Trigger_dblEl),HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,10873,10873,10873,0,component_baseline_covers_category_exposure
2022,EGamma_Run2022D-ReReco-v1,EGamma,!Trigger_ElMu && !Trigger_sngMu && !Trigger_dblMu && (Trigger_sngEl || Trigger_dblEl),HLT_Ele30_WPTight_Gsf,10873,10873,10873,0,component_baseline_covers_category_exposure
2022EE,MuonEG_Run2022E-Prompt-v1,MuonEG,Trigger_ElMu,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL,21738,21738,21738,0,component_baseline_covers_category_exposure
2022EE,MuonEG_Run2022E-Prompt-v1,MuonEG,Trigger_ElMu,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,21738,21738,21738,0,component_baseline_covers_category_exposure
2022EE,MuonEG_Run2022E-Prompt-v1,MuonEG,Trigger_ElMu,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,21738,21738,21738,0,component_baseline_covers_category_exposure
2022EE,MuonEG_Run2022F-Prompt-v1,MuonEG,Trigger_ElMu,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL,51427,51427,51427,0,component_baseline_covers_category_exposure
2022EE,MuonEG_Run2022F-Prompt-v1,MuonEG,Trigger_ElMu,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,51427,51427,51427,0,component_baseline_covers_category_exposure
2022EE,MuonEG_Run2022F-Prompt-v1,MuonEG,Trigger_ElMu,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,51427,51427,51427,0,component_baseline_covers_category_exposure
2022EE,MuonEG_Run2022G-Prompt-v1,MuonEG,Trigger_ElMu,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL,8237,8237,8237,0,component_baseline_covers_category_exposure
2022EE,MuonEG_Run2022G-Prompt-v1,MuonEG,Trigger_ElMu,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,8237,8237,8237,0,component_baseline_covers_category_exposure
2022EE,MuonEG_Run2022G-Prompt-v1,MuonEG,Trigger_ElMu,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,8237,8237,8237,0,component_baseline_covers_category_exposure
2022EE,Muon_Run2022E-Prompt-v1,Muon,!Trigger_ElMu && (Trigger_sngMu || Trigger_dblMu),HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8,21782,21782,21782,0,component_baseline_covers_category_exposure
2022EE,Muon_Run2022E-Prompt-v1,Muon,!Trigger_ElMu && (Trigger_sngMu || Trigger_dblMu),HLT_IsoMu24,21782,21782,21782,0,component_baseline_covers_category_exposure
2022EE,Muon_Run2022F-Prompt-v1,Muon,!Trigger_ElMu && (Trigger_sngMu || Trigger_dblMu),HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8,51493,51493,51493,0,component_baseline_covers_category_exposure
2022EE,Muon_Run2022F-Prompt-v1,Muon,!Trigger_ElMu && (Trigger_sngMu || Trigger_dblMu),HLT_IsoMu24,51493,51493,51493,0,component_baseline_covers_category_exposure
2022EE,Muon_Run2022G-Prompt-v1,Muon,!Trigger_ElMu && (Trigger_sngMu || Trigger_dblMu),HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8,8237,8237,8237,0,component_baseline_covers_category_exposure
2022EE,Muon_Run2022G-Prompt-v1,Muon,!Trigger_ElMu && (Trigger_sngMu || Trigger_dblMu),HLT_IsoMu24,8237,8237,8237,0,component_baseline_covers_category_exposure
2022EE,EGamma_Run2022E-Prompt-v1,EGamma,!Trigger_ElMu && !Trigger_sngMu && !Trigger_dblMu && (Trigger_sngEl || Trigger_dblEl),HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,21618,21617,21617,0,component_baseline_covers_category_exposure
2022EE,EGamma_Run2022E-Prompt-v1,EGamma,!Trigger_ElMu && !Trigger_sngMu && !Trigger_dblMu && (Trigger_sngEl || Trigger_dblEl),HLT_Ele30_WPTight_Gsf,21618,21617,21617,0,component_baseline_covers_category_exposure
2022EE,EGamma_Run2022F-Prompt-v1,EGamma,!Trigger_ElMu && !Trigger_sngMu && !Trigger_dblMu && (Trigger_sngEl || Trigger_dblEl),HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,51484,51484,51484,0,component_baseline_covers_category_exposure
