analysis_year,analysis_era,run_period,run,scope_type,scope_name,trigger_family,owner_stream,expression,method,status,delivered_fb,recorded_fb,n_lumisections,n_runs
2022,2022,2022B,,nominal,configured_run_period,,,,brilcalc_direct,,0.101393065422,0.096513459664,4633,19
2022,2022,2022C,,nominal,configured_run_period,,,,brilcalc_direct,,5.232152171168,5.010276963539999,25824,106
2022,2022,2022D,,nominal,configured_run_period,,,,brilcalc_direct,,3.1269710310819994,2.9700382347149996,10873,45
2022,2022EE,2022E,,nominal,configured_run_period,,,,brilcalc_direct,,6.041532076765001,5.806955180545001,21675,51
2022,2022EE,2022F,,nominal,configured_run_period,,,,brilcalc_direct,,18.659232206097997,17.781617781601994,51497,118
2022,2022EE,2022G,,nominal,configured_run_period,,,,brilcalc_direct,,3.239852222497,3.082753035013001,8237,21
2023,2023,2023C_v1,,nominal,configured_run_period,,,,brilcalc_direct,,4.579497349265001,4.3430019864250005,16282,41
2023,2023,2023C_v2,,nominal,configured_run_period,,,,brilcalc_direct,,1.338122983998,1.2707492954289998,3534,7
2023,2023,2023C_v3,,nominal,configured_run_period,,,,brilcalc_direct,,1.700665114259,1.606429084258,4544,11
2023,2023,2023C_v4,,nominal,configured_run_period,,,,brilcalc_direct,,11.393327295537999,10.842478632107003,31437,67
2023,2023BPix,2023D_v1,,nominal,configured_run_period,,,,brilcalc_direct,,8.369297137833,7.986035255849999,23605,33
2023,2023BPix,2023D_v2,,nominal,configured_run_period,,,,brilcalc_direct,,1.7970065510689999,1.707094774537,4263,10
2024,2024,2024C,,nominal,configured_run_period,,,,brilcalc_direct,,7.602317219173999,7.261429236414998,24290,43
2024,2024,2024D,,nominal,configured_run_period,,,,brilcalc_direct,,8.357480018274998,7.981970185804002,23195,37
2024,2024,2024E,,nominal,configured_run_period,,,,brilcalc_direct,,12.041457491340001,11.427488610259001,31479,46
2024,2024,2024F,,nominal,configured_run_period,,,,brilcalc_direct,,29.81907979001,28.05363563358699,69876,121
2024,2024,2024G,,nominal,configured_run_period,,,,brilcalc_direct,,40.62066320181003,38.060407436575,92302,143
2024,2024,2024H,,nominal,configured_run_period,,,,brilcalc_direct,,5.858528074915,5.489661957289,13044,21
2024,2024,2024I_v1,,nominal,configured_run_period,,,,brilcalc_direct,,6.244467828317,5.847968508560001,13712,22
2024,2024,2024I_v2,,nominal,configured_run_period,,,,brilcalc_direct,,6.0240674415690005,5.6057474062359995,12982,23
