analysis_year,analysis_era,run_period,run,scope_type,scope_name,trigger_family,owner_stream,expression,method,status,delivered_fb,recorded_fb,n_lumisections,n_runs
2022,,,,positive_family_or,Trigger_Any,,,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL || HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ || HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ || HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8 || HLT_IsoMu24 || HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL || HLT_Ele30_WPTight_Gsf,adaptive_validated_unprescaled_union,,36.39288917299501,34.74067810527198,121484,350
2022,,,,positive_family_or,Trigger_EGamma,,,HLT_Ele30_WPTight_Gsf || HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,adaptive_validated_unprescaled_union,,36.332593991307995,34.683354835644984,121272,350
2022,,,,positive_family_or,Trigger_ElMu,,,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL || HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ || HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,adaptive_validated_unprescaled_union,,36.34669539944201,34.69662652171498,121366,350
2022,,,,positive_family_or,Trigger_Muon,,,HLT_IsoMu24 || HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8,adaptive_validated_unprescaled_union,,36.37887725300301,34.727459202646976,121435,350
2022,,,,positive_family_or,Trigger_dblEl,,,HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,adaptive_validated_unprescaled_union,,36.332593991307995,34.68335483564499,121272,350
2022,,,,positive_family_or,Trigger_dblMu,,,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8,adaptive_validated_unprescaled_union,,36.37887725300301,34.727459202646976,121435,350
2022,,,,positive_family_or,Trigger_sngEl,,,HLT_Ele30_WPTight_Gsf,adaptive_validated_unprescaled_union,,36.332593991307995,34.68335483564499,121272,350
2022,,,,positive_family_or,Trigger_sngMu,,,HLT_IsoMu24,adaptive_validated_unprescaled_union,,36.37887725300301,34.727459202646976,121435,350
2023,,,,positive_family_or,Trigger_Any,,,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL || HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ || HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ || HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8 || HLT_IsoMu24 || HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL || HLT_Ele30_WPTight_Gsf,adaptive_validated_unprescaled_union,,29.177916431961997,27.755789028606003,83665,169
2023,,,,positive_family_or,Trigger_EGamma,,,HLT_Ele30_WPTight_Gsf || HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,adaptive_validated_unprescaled_union,,29.176578175457998,27.754467842592003,83647,169
2023,,,,positive_family_or,Trigger_ElMu,,,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL || HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ || HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,adaptive_validated_unprescaled_union,,29.176277175116,27.754174116338003,83648,169
2023,,,,positive_family_or,Trigger_Muon,,,HLT_IsoMu24 || HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8,adaptive_validated_unprescaled_union,,29.176909430200993,27.755788427038,83661,169
2023,,,,positive_family_or,Trigger_dblEl,,,HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,adaptive_validated_unprescaled_union,,29.176578175457998,27.754467842592003,83647,169
2023,,,,positive_family_or,Trigger_dblMu,,,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8,adaptive_validated_unprescaled_union,,29.176909430200993,27.755788427038,83661,169
2023,,,,positive_family_or,Trigger_sngEl,,,HLT_Ele30_WPTight_Gsf,adaptive_validated_unprescaled_union,,29.176578175457998,27.754467842592003,83647,169
2023,,,,positive_family_or,Trigger_sngMu,,,HLT_IsoMu24,adaptive_validated_unprescaled_union,,29.176909430200993,27.755788427038,83661,169
2024,,,,positive_family_or,Trigger_Any,,,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL || HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ || HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ || HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8 || HLT_IsoMu24 || HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL || HLT_Ele30_WPTight_Gsf,adaptive_validated_unprescaled_union,,115.87533833622587,109.070326887496,279009,453
2024,,,,positive_family_or,Trigger_EGamma,,,HLT_Ele30_WPTight_Gsf || HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,adaptive_validated_unprescaled_union,,115.8372632108069,109.04577551101201,278921,453
2024,,,,positive_family_or,Trigger_ElMu,,,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL || HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ || HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ,adaptive_validated_unprescaled_union,,115.7691105011909,109.01593975763701,278730,453
2024,,,,positive_family_or,Trigger_Muon,,,HLT_IsoMu24 || HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8,adaptive_validated_unprescaled_union,,115.85637546042788,109.06955214011698,278960,453
2024,,,,positive_family_or,Trigger_dblEl,,,HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,adaptive_validated_unprescaled_union,,115.8372632108069,109.04577551101201,278921,453
2024,,,,positive_family_or,Trigger_dblMu,,,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8,adaptive_validated_unprescaled_union,,115.85637546042788,109.06955214011701,278960,453
2024,,,,positive_family_or,Trigger_sngEl,,,HLT_Ele30_WPTight_Gsf,adaptive_validated_unprescaled_union,,115.8372632108069,109.04577551101201,278921,453
2024,,,,positive_family_or,Trigger_sngMu,,,HLT_IsoMu24,adaptive_validated_unprescaled_union,,115.85637546042788,109.06955214011701,278960,453
