Before running:,voms-proxy-init --voms cms -valid 192:0

Destination:,/eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/<production>/<step>
Command:,mkPostProc -o 0 -p <production> -s <step> -T <sample>
Check jobs status:,mkPostProc -o 1 -p <production> -s <step>

To get writing permissions:,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Run2025_PromptCDEFG_nAODv15_Full2025v15_*/
,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Run2025_PromptCDEFG_nAODv15_Full2025v15_*/*



Sample,Status,Responsible,Command,Test one script
DATA l2 loose,DATA l2 loose
Muon,running,Mohammad,mkPostProc -o 0 -p Run2025_PromptCDEFG_nAODv15_Full2025v15_Muon -s DATAl2loose2025v15__l2loose
EGamma,,,mkPostProc -o 0 -p Run2025_PromptCDEFG_nAODv15_Full2025v15_EGamma -s DATAl2loose2025v15__l2loose
MuonEG,,,mkPostProc -o 0 -p Run2025_PromptCDEFG_nAODv15_Full2025v15_MuonEG -s DATAl2loose2025v15__l2loose
